index,size,seed,open_cells,start_row,start_col,end_row,end_col,moves,overlaps,path,grid,image,source,source_id,user,config_id,config_label,move_fraction_u,move_fraction_d,move_fraction_l,move_fraction_r,turn_rate,mean_run_length,max_run_length,min_run_length,run_length_std,cluster,cluster_distance,cluster_rank
455,7,455,41,0,0,5,1,40,0,ddddddrrrrrulurulllurrrruuldluldlulddddd,1111111/1111111/1111111/1111110/1100110/1100110/1111110,images/grid_0455_n7_seed455.svg,optimal,optimal-455,,,,0.2,0.325,0.225,0.25,0.5128205128205128,1.9047619047619047,6.0,1.0,1.60073679180682,0,8.81162919442984,325
725,7,725,40,1,0,0,2,39,0,dddddrrrrrruuuuuuldldrdldrdlluldluuuuru,0010011/1110111/1100111/1100111/1111111/1111111/1111111,images/grid_0725_n7_seed725.svg,optimal,optimal-725,,,,0.3076923076923077,0.28205128205128205,0.1794871794871795,0.23076923076923078,0.5263157894736842,1.8571428571428572,6.0,1.0,1.6983385238216198,0,8.818475883845707,326
177,7,177,40,0,0,1,6,41,2,ddddddrrrrrrluurlldluuuulddddluuuuurrrrrd,1111111/1111001/1111000/1111000/1111111/1111110/1111111,images/grid_0177_n7_seed177.svg,optimal,optimal-177,,,,0.2682926829268293,0.2926829268292683,0.14634146341463414,0.2926829268292683,0.35,2.7333333333333334,6.0,1.0,1.9482185594936612,0,8.84303979008433,327
77,7,77,41,1,0,4,1,40,0,dddddrrrrrruuuuuuldddldrdlluuuuldldrddlu,0000011/1011011/1111011/1111111/1111111/1111111/1111111,images/grid_0077_n7_seed77.svg,optimal,optimal-77,,,,0.275,0.35,0.175,0.2,0.46153846153846156,2.1052631578947367,6.0,1.0,1.7440043711348308,0,8.877167588092627,328
436,7,436,37,2,0,0,1,41,5,ddddrrrruuurrdldrdllllluurulruurrrrulllll,0111111/0011111/1010000/1110111/1110111/1100111/1111111,images/grid_0436_n7_seed436.svg,optimal,optimal-436,,,,0.21951219512195122,0.17073170731707318,0.2926829268292683,0.3170731707317073,0.45,2.1578947368421053,5.0,1.0,1.4604670447906956,0,8.88045319580997,329
328,7,328,37,0,0,6,6,38,2,rrrrrrdldrdullllddrrdllluuulddddrrrrrr,1111111/0000011/1111111/1110001/1111100/1111100/1111111,images/grid_0328_n7_seed328.svg,optimal,optimal-328,,,,0.10526315789473684,0.2631578947368421,0.23684210526315788,0.39473684210526316,0.40540540540540543,2.375,6.0,1.0,1.7275343701356567,0,8.88479444044726,330
597,7,597,41,0,0,1,5,40,0,ddddddrrrrrrulluldllurulurulurrdrurrddlu,1111111/1111111/1110011/1110000/1111100/1111111/1111111,images/grid_0597_n7_seed597.svg,optimal,optimal-597,,,,0.225,0.25,0.2,0.325,0.6153846153846154,1.6,6.0,1.0,1.3564659966250538,0,8.892591454951745,331
45,7,45,40,3,0,1,1,41,2,dddrrrrrruuuuuulllrdrdldrddlululddrlluuuu,0001111/0100111/0100111/1111111/1111111/1111111/1111111,images/grid_0045_n7_seed45.svg,optimal,optimal-45,,,,0.2926829268292683,0.24390243902439024,0.21951219512195122,0.24390243902439024,0.5,1.9523809523809523,6.0,1.0,1.5576597365520117,0,8.991329419359921,332
200,7,200,44,0,0,6,6,46,3,ddddddrrrluluruluuurrrrrdddluuldlulddrrddurrdd,1111111/1111111/1111111/1111111/1110111/1110101/1111001,images/grid_0200_n7_seed200.svg,optimal,optimal-200,,,,0.21739130434782608,0.34782608695652173,0.15217391304347827,0.2826086956521739,0.5333333333333333,1.84,6.0,1.0,1.286234815265082,0,8.991691344669896,333
67,7,67,40,0,0,6,0,40,1,ddruurrrrrdlllldrrrrddldrdlllurlulullddd,1111111/1111111/1111111/1110001/1011011/1001111/1001111,images/grid_0067_n7_seed67.svg,optimal,optimal-67,,,,0.125,0.275,0.3,0.3,0.5384615384615384,1.8181818181818181,5.0,1.0,1.1922615498730909,0,8.999610177650817,334
