rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
76,0.6107,single_mass,14,10,1,2,25,60,0.25,0.35,175,174,0,219,210,0.207,106,0.609,1.987,3.085,1,1,1,164,,0
77,0.6106,single_mass,8,47,1,2,25,60,0.25,0.35,45,46,2,57,61,0.239,32,0.696,1.949,2.836,7,9,1,30,,0
78,0.6104,default,14,2,4,7,7,14,0.2,0.4,169,170,2,232,208,0.224,97,0.571,1.990,3.086,4,4,2,153,,0
79,0.6101,default,8,1,2,4,4,8,0.2,0.4,55,55,1,127,88,0.600,32,0.582,1.952,3.043,6,7,2,44,,0
80,0.6094,default,10,26,3,5,5,10,0.2,0.4,85,84,0,106,99,0.179,50,0.595,1.981,3.149,3,4,1,72,,0
81,0.6081,single_mass,8,11,1,2,25,60,0.25,0.35,45,47,3,68,61,0.298,31,0.660,1.956,2.683,13,14,4,26,,0
82,0.6078,default,14,42,4,7,7,14,0.2,0.4,169,171,3,241,207,0.211,100,0.585,1.991,3.125,1,1,1,154,,0
83,0.6057,single_mass,8,36,1,2,25,60,0.25,0.35,54,55,2,88,79,0.436,33,0.600,1.976,2.965,8,7,3,42,,0
84,0.6042,dispersed,12,42,12,25,1,2,0.18,0.28,128,129,2,161,143,0.109,86,0.667,1.993,3.143,3,4,3,106,,0
85,0.6007,medium_clusters,10,42,3,4,6,12,0.3,0.4,89,88,0,107,104,0.182,61,0.693,1.988,3.066,1,1,1,78,,0
86,0.6003,medium_clusters,10,34,3,4,6,12,0.3,0.4,85,87,3,123,101,0.161,56,0.644,1.975,3.095,4,4,3,72,,0
87,0.6001,single_mass,12,36,1,2,25,60,0.25,0.35,129,130,2,155,165,0.192,77,0.592,1.987,3.124,2,2,2,118,,0
88,0.5985,default,10,9,3,5,5,10,0.2,0.4,81,83,3,125,118,0.422,46,0.554,1.972,3.098,4,5,1,62,,0
